mote_id,Timestamp,Temperature,Humidity,Light,Voltage,mote_id,hour,month,day,weekday
0,2004-02-28 00:00:00,19.9884,37.0933,45.08,2.69964,0.0,0,2,28,5
0,2004-02-28 01:00:00,19.067853333333336,38.78843,43.73066666666667,2.6938355,0.0,1,2,28,5
0,2004-02-28 02:00:00,18.724445,38.91627916666667,43.24,2.6923079999999997,0.0,2,2,28,5
0,2004-02-28 03:00:00,18.420481666666667,39.02209916666666,43.24,2.687838333333333,0.0,3,2,28,5
0,2004-02-28 04:00:00,18.095203333333334,39.07342500000001,43.24,2.685006,0.0,4,2,28,5
0,2004-02-28 05:00:00,17.806266666666666,39.11027833333333,43.24,2.678955,0.0,5,2,28,5
0,2004-02-28 06:00:00,17.60177333333333,39.26073833333333,45.93866666666667,2.677439166666667,0.0,6,2,28,5
0,2004-02-28 07:00:00,17.764535000000002,38.91031833333333,232.69866666666667,2.6773366666666667,0.0,7,2,28,5
0,2004-02-28 08:00:00,19.501176666666666,36.21886416666667,400.87466666666666,2.6924178333333333,0.0,8,2,28,5
0,2004-02-28 09:00:00,21.842805,32.71990916666667,455.33866666666665,2.7146793333333337,0.0,9,2,28,5
0,2004-02-28 10:00:00,23.62714,30.755861666666664,500.47999999999996,2.733090083333333,0.0,10,2,28,5
0,2004-02-28 11:00:00,24.433516666666666,30.316556666666667,480.3013333333333,2.7441396666666664,0.0,11,2,28,5
0,2004-02-28 12:00:00,24.665613333333333,30.457193333333333,434.976,2.74741275,0.0,12,2,28,5
0,2004-02-28 13:00:00,24.785173333333333,30.589066666666668,391.92,2.7476259166666663,0.0,13,2,28,5
0,2004-02-28 14:00:00,24.066996666666668,31.804871666666667,306.42133333333334,2.7437173333333336,0.0,14,2,28,5
0,2004-02-28 15:00:00,23.26364166666667,32.92991166666666,212.09066666666666,2.7341385833333334,0.0,15,2,28,5
0,2004-02-28 16:00:00,22.270084999999998,34.455555000000004,139.472,2.725037,0.0,16,2,28,5
0,2004-02-28 17:00:00,21.437003333333333,36.046889166666666,69.966,2.717972666666667,0.0,17,2,28,5
0,2004-02-28 18:00:00,20.866725,37.02616083333333,43.884,2.706930333333333,0.0,18,2,28,5
0,2004-02-28 19:00:00,20.481748333333332,37.67664166666667,43.838,2.7026173333333334,0.0,19,2,28,5
0,2004-02-28 20:00:00,20.236013333333336,38.27415583333333,44.42066666666666,2.699644166666667,0.0,20,2,28,5
0,2004-02-28 21:00:00,19.942585,38.538466666666665,44.022000000000006,2.698825333333333,0.0,21,2,28,5
0,2004-02-28 22:00:00,19.606281666666668,38.772889166666666,43.531333333333336,2.6924098333333335,0.0,22,2,28,5
0,2004-02-28 23:00:00,19.35287,38.87651833333334,44.221333333333334,2.6897711666666666,0.0,23,2,28,5
0,2004-02-29 00:00:00,19.05870666666667,39.087000833333335,43.715333333333334,2.6867141666666665,0.0,0,2,29,6
0,2004-02-29 01:00:00,18.69120666666667,39.643632499999995,43.24,2.6827826666666668,0.0,1,2,29,6
0,2004-02-29 02:00:00,18.374585000000003,40.33156833333333,43.24,2.6762283333333334,0.0,2,2,29,6
0,2004-02-29 03:00:00,18.119376666666664,41.01361416666667,43.24,2.6751225,0.0,3,2,29,6
0,2004-02-29 04:00:00,17.905736666666666,41.7542825,43.24,2.6718218333333335,0.0,4,2,29,6
0,2004-02-29 05:00:00,17.693975000000002,42.4686175,43.24,2.66722275,0.0,5,2,29,6
0,2004-02-29 06:00:00,17.504099999999998,43.09154083333333,45.172000000000004,2.6621420000000002,0.0,6,2,29,6
0,2004-02-29 07:00:00,17.490461666666665,43.37464583333333,91.41733333333333,2.6618383333333338,0.0,7,2,29,6
0,2004-02-29 08:00:00,18.581446666666668,41.20964666666667,384.6213333333333,2.6718482500000005,0.0,8,2,29,6
0,2004-02-29 09:00:00,20.298896666666668,38.2187775,305.56266666666664,2.689358833333333,0.0,9,2,29,6
0,2004-02-29 10:00:00,20.636915,38.25964333333334,355.488,2.6915981666666666,0.0,10,2,29,6
0,2004-02-29 11:00:00,21.192166666666665,37.99176083333334,303.96799999999996,2.696585,0.0,11,2,29,6
0,2004-02-29 12:00:00,21.10266,38.866816666666665,265.0826666666666,2.697026277777778,0.0,12,2,29,6
